datetime,biogas,biomass,coal,geothermal,large_hydro,natural_gas,nuclear,other,small_hydro,solar,wind
2019-09-03 00:00:00,238.916666666667,407.083333333333,9,967.25,3152.5,9710.83333333333,2248.75,0,401.666666666667,0,2670.16666666667
2019-09-03 01:00:00,239,406.5,9,970.333333333333,2724.33333333333,9155,2250.58333333333,0,400.916666666667,0,2778.83333333333
2019-09-03 02:00:00,239,406.833333333333,9,973.166666666667,2630,8078.33333333333,2250.83333333333,0,413.583333333333,0,2795.25
2019-09-03 03:00:00,238.916666666667,407.166666666667,9.83333333333333,973.833333333333,2611.25,7801.25,2245,0,359.916666666667,0,2582.58333333333
2019-09-03 04:00:00,237.916666666667,406.083333333333,9.41666666666667,974.666666666667,2651.33333333333,7744.33333333333,2242.83333333333,0,382.083333333333,0,2397.41666666667
2019-09-03 05:00:00,237.166666666667,408.916666666667,10,973.333333333333,2965.5,8624.58333333333,2242.83333333333,0,395.916666666667,0,2327
2019-09-03 06:00:00,236.75,406.083333333333,9.16666666666667,972.333333333333,3809.5,9544.58333333333,2244.83333333333,0,407.5,77.1666666666667,2048.83333333333
2019-09-03 07:00:00,234.416666666667,405.833333333333,9.58333333333333,972.083333333333,3394.08333333333,9689.91666666667,2247.25,0,414.166666666667,2510.66666666667,1739.16666666667
2019-09-03 08:00:00,238.083333333333,410.75,9,968.5,2628.25,8918.91666666667,2248.08333333333,0,408.083333333333,6979.66666666667,1364.08333333333
2019-09-03 09:00:00,236.75,412.166666666667,9,963.666666666667,2527.16666666667,9291.66666666667,2249.41666666667,0,411.166666666667,8988.08333333333,1116.5
2019-09-03 10:00:00,230.75,408.5,9.66666666666667,959.083333333333,2529.33333333333,10252.5,2250.58333333333,0,417.416666666667,9965.25,816.5
2019-09-03 11:00:00,233.416666666667,409.25,9,954.416666666667,2807,11159.0833333333,2252.16666666667,0,418,10474.0833333333,701.333333333333
2019-09-03 12:00:00,234.75,409.25,8.25,944.583333333333,3080.08333333333,12667.25,2252.66666666667,0,427.083333333333,10284.1666666667,611
2019-09-03 13:00:00,232.5,411.833333333333,8,944.083333333333,3535.41666666667,14421.0833333333,2248.33333333333,0,429.5,10023,612
2019-09-03 14:00:00,235.083333333333,411.25,8.08333333333333,943.916666666667,3629.91666666667,16367.1666666667,2245.33333333333,0,438.583333333333,9719.08333333333,761.083333333333
2019-09-03 15:00:00,235.666666666667,411.833333333333,8.08333333333333,950.666666666667,3909.16666666667,17869.9166666667,2244,0,452.833333333333,8941.66666666667,1299.58333333333
2019-09-03 16:00:00,233.5,413.416666666667,8,955.916666666667,4344.83333333333,19063.75,2243.08333333333,0,497.75,8009.75,1932.91666666667
2019-09-03 17:00:00,232.583333333333,405.833333333333,8.33333333333333,953.083333333333,4711.58333333333,19836.6666666667,2242.33333333333,0,498.583333333333,6126.91666666667,2572.5
2019-09-03 18:00:00,234.583333333333,409.75,8.16666666666667,950.916666666667,5160.33333333333,20725.6666666667,2243.41666666667,0,500.833333333333,2077.5,3230
2019-09-03 19:00:00,236.333333333333,413.416666666667,8.83333333333333,950.75,4899.58333333333,20028.8333333333,2245.16666666667,0,505.166666666667,216.833333333333,3559.16666666667
2019-09-03 20:00:00,236.833333333333,411.666666666667,9,951,4674.5,18422,2245.91666666667,0,505.25,85.4166666666667,3323
2019-09-03 21:00:00,236.5,412.25,9.25,956.25,4102,16455.6666666667,2247.5,0,471.083333333333,0,3097.41666666667
2019-09-03 22:00:00,234.583333333333,412.75,10,959.833333333333,3658.33333333333,14804.3333333333,2247.83333333333,0,447.333333333333,0,3059.33333333333
2019-09-03 23:00:00,233.916666666667,413.083333333333,10,962.916666666667,3334.66666666667,12587.4166666667,2247.33333333333,0,444.416666666667,0,2893.5
2019-09-04 00:00:00,235.5,412.5,9.41666666666667,966.083333333333,3069.91666666667,10705.9166666667,2247.41666666667,0,439.25,0,2523.58333333333
2019-09-04 01:00:00,235.916666666667,412.583333333333,9.08333333333333,966.333333333333,2808.25,9705.66666666667,2246.25,0,437.166666666667,0,2415.91666666667
2019-09-04 02:00:00,236.083333333333,414.083333333333,9,967.083333333333,2467,9455.66666666667,2246.25,0,423.25,0,2206.08333333333
2019-09-04 03:00:00,236.5,409.833333333333,8.75,966.916666666667,2586.91666666667,9284.83333333333,2244.58333333333,0,419.833333333333,0,1649.66666666667
2019-09-04 04:00:00,236.583333333333,384.666666666667,8.83333333333333,967.416666666667,2643.66666666667,9661.58333333333,2244.83333333333,0,412.416666666667,0,991.5
2019-09-04 05:00:00,234.666666666667,381.916666666667,8.91666666666667,967.75,3132.25,10570.5833333333,2247.16666666667,0,410.75,0,714.916666666667
2019-09-04 06:00:00,234.833333333333,383.333333333333,9,966.166666666667,3896.83333333333,11301,2246.91666666667,0,413.833333333333,86.4166666666667,492.166666666667
2019-09-04 07:00:00,232.5,405.75,9.91666666666667,964.5,3482.33333333333,11011.5,2248.83333333333,0,422.5,2579.16666666667,406.916666666667
2019-09-04 08:00:00,231.833333333333,413.083333333333,9.25,960.083333333333,2486.5,10367.0833333333,2248.66666666667,0,412.916666666667,7055.75,362.25
2019-09-04 09:00:00,230.666666666667,404.5,8.16666666666667,954.916666666667,2472.58333333333,10580.25,2246.41666666667,0,412.666666666667,9271,262.166666666667
2019-09-04 10:00:00,230.333333333333,393.5,8.83333333333333,953.833333333333,2591,11226.5833333333,2247.16666666667,0,409,10088.25,284.083333333333
2019-09-04 11:00:00,229.5,381.833333333333,8.25,951.25,2702.83333333333,12934.4166666667,2249,0,412.666666666667,10332.1666666667,283.75
