datetime,imports
2019-09-08 19:00:00,10150.6666666667
2019-09-08 20:00:00,10495
2019-09-08 21:00:00,9795.41666666667
2019-09-08 22:00:00,8568.08333333333
2019-09-08 23:00:00,7731.5
2019-09-09 00:00:00,7543
2019-09-09 01:00:00,7427.25
2019-09-09 02:00:00,7262.41666666667
2019-09-09 03:00:00,6976.16666666667
2019-09-09 04:00:00,6919.83333333333
2019-09-09 05:00:00,7378.75
2019-09-09 06:00:00,9012.83333333333
2019-09-09 07:00:00,7954.75
2019-09-09 08:00:00,5609.66666666667
2019-09-09 09:00:00,5067.41666666667
2019-09-09 10:00:00,4361.5
2019-09-09 11:00:00,4538.08333333333
2019-09-09 12:00:00,5229.5
2019-09-09 13:00:00,5099.58333333333
2019-09-09 14:00:00,5256.5
2019-09-09 15:00:00,5800.58333333333
2019-09-09 16:00:00,6210.75
2019-09-09 17:00:00,7352.66666666667
2019-09-09 18:00:00,9146.66666666667
2019-09-09 19:00:00,10002.6666666667
2019-09-09 20:00:00,9994.08333333333
2019-09-09 21:00:00,9690.16666666667
2019-09-09 22:00:00,7998
2019-09-09 23:00:00,7570.75
